start	end	text
0	2000	Comment complexe est l'idée ?
2000	4000	Simple enough.
4000	5000	No idée est simple.
5000	7000	Car, nous devons partir de ça.
7000	10000	Si je voulais faire ça, si je pouvais faire ça,
10000	13000	je devrais avoir une garantie.
13000	15000	Comment je sais que vous pouvez l'éliver ?
15000	17000	Vous n'êtes pas.
17000	19000	Mais je peux.
19000	21000	Donc,
21000	24000	vous voulez prendre un leap de faith
24000	26000	ou devenir un homme
26000	28000	Filled with regret,
28000	30000	waiting to die alone.
